,노선ID,노선명,정류장ID,정류장명,정류장 순서,X좌표,Y좌표,GPS X좌표,GPS Y좌표
173,293000180,11번 (조치원버스터미널~조치원버스터미널),293001055,고려대학교,12,127.29309,36.61084,127.29309,36.61084
174,293000180,11번 (조치원버스터미널~조치원버스터미널),293001041,세종여자고등학교입구,13,127.29126,36.60701,127.29126,36.60701
175,293000180,11번 (조치원버스터미널~조치원버스터미널),293001036,신봉초등학교,14,127.28966,36.60283,127.28966,36.60283
176,293000180,11번 (조치원버스터미널~조치원버스터미널),293001042,세종시문화예술회관,15,127.29035,36.59869,127.29035,36.59869
177,293000180,11번 (조치원버스터미널~조치원버스터미널),293064034,신흥사거리,16,127.29097,36.59447,127.29097,36.59447
178,293000180,11번 (조치원버스터미널~조치원버스터미널),293001052,자이아파트,17,127.29173,36.59083,127.29173,36.59083
179,293000180,11번 (조치원버스터미널~조치원버스터미널),293001046,자이아파트정문,18,127.29073,36.58832,127.29073,36.58832
180,293000180,11번 (조치원버스터미널~조치원버스터미널),293064083,번암아파트후문,19,127.29204,36.58769,127.29204,36.58769
181,293000180,11번 (조치원버스터미널~조치원버스터미널),293001065,번암삼거리,20,127.29409,36.58365,127.29409,36.58365
182,293000180,11번 (조치원버스터미널~조치원버스터미널),293001079,번암아파트,21,127.29591,36.58555,127.29591,36.58555
183,293000180,11번 (조치원버스터미널~조치원버스터미널),293001092,죽림리,22,127.29897,36.59127,127.29897,36.59127
184,293000180,11번 (조치원버스터미널~조치원버스터미널),293001093,효성세종병원,23,127.29895,36.59705,127.29895,36.59705
185,293000180,11번 (조치원버스터미널~조치원버스터미널),293001090,조치원전통시장,24,127.29861,36.59898,127.29861,36.59898
186,293000180,11번 (조치원버스터미널~조치원버스터미널),293064017,조치원역,25,127.29708,36.60133,127.29708,36.60133
187,293000180,11번 (조치원버스터미널~조치원버스터미널),293064019,조치원전통시장북측,26,127.30008,36.60143,127.30008,36.60143
188,293000180,11번 (조치원버스터미널~조치원버스터미널),293064260,조치원버스터미널,27,127.30276,36.60188,127.30276,36.60188
189,293000181,12번 (조치원버스터미널~조치원버스터미널),293064259,조치원버스터미널,1,127.30289,36.60190,127.30289,36.60190
190,293000181,12번 (조치원버스터미널~조치원버스터미널),293064152,조치원전통시장북측,2,127.29963,36.60156,127.29963,36.60156
191,293000181,12번 (조치원버스터미널~조치원버스터미널),293001084,조치원역,3,127.29713,36.60099,127.29713,36.60099
192,293000181,12번 (조치원버스터미널~조치원버스터미널),293001088,조치원전통시장,4,127.29819,36.59994,127.29819,36.59994
193,293000181,12번 (조치원버스터미널~조치원버스터미널),293064035,효성세종병원,5,127.29871,36.59725,127.29871,36.59725
194,293000181,12번 (조치원버스터미널~조치원버스터미널),293001091,죽림리,6,127.29892,36.59078,127.29892,36.59078
195,293000181,12번 (조치원버스터미널~조치원버스터미널),293001089,번암리,7,127.29841,36.58840,127.29841,36.58840
196,293000181,12번 (조치원버스터미널~조치원버스터미널),293001078,번암아파트,8,127.29582,36.58577,127.29582,36.58577
